sma_trend,smc_trend,combined_trend,num_support_levels,num_resistance_levels,num_bos_events,num_fvg,num_order_blocks,num_liquidity_pools,file
Downtrend,Sideways,Weak Downtrend,52,41,27,2,20,8,AUDCAD_5min.csv
Uptrend,Downtrend,Conflict,30,37,34,3,10,4,AUDCHF_5min.csv
Uptrend,Uptrend,Strong Uptrend,39,30,0,28,66,8,AUDHKD_5min.csv
Uptrend,Sideways,Weak Uptrend,59,60,26,3,14,0,AUDHUF_5min.csv
Downtrend,Sideways,Weak Downtrend,60,54,15,28,36,19,AUDILS_5min.csv
Downtrend,Downtrend,Strong Downtrend,62,58,51,17,35,0,AUDJPY_5min.csv
Uptrend,Sideways,Weak Uptrend,246,234,21,4001,0,72,AUDNOK_5min.csv
Downtrend,Sideways,Weak Downtrend,59,44,61,0,3,2,AUDNZD_5min.csv
Downtrend,Sideways,Weak Downtrend,247,306,312,85,273,24,AUDPLN_5min.csv
Downtrend,Sideways,Weak Downtrend,65,72,57,7,27,24,AUDSEK_5min.csv
Uptrend,Sideways,Weak Uptrend,34,33,0,1,8,7,AUDSGD_5min.csv
Downtrend,Downtrend,Strong Downtrend,30,25,22,31,45,7,AUDUSD_5min.csv
Uptrend,Sideways,Weak Uptrend,29,32,11,3,15,3,CADCHF_5min.csv
Uptrend,Uptrend,Strong Uptrend,224,202,194,356,445,37,CADHKD_5min.csv
Uptrend,Sideways,Weak Uptrend,247,222,162,3886,0,96,CADHUF_5min.csv
Downtrend,Sideways,Weak Downtrend,61,59,28,39,52,14,CADILS_5min.csv
Downtrend,Downtrend,Strong Downtrend,55,60,27,21,63,2,CADJPY_5min.csv
Uptrend,Sideways,Weak Uptrend,71,66,24,2,35,28,CADNOK_5min.csv
Uptrend,Sideways,Weak Uptrend,264,281,89,3083,6,85,CADSEK_5min.csv
Downtrend,Sideways,Weak Downtrend,210,198,187,2389,442,8,CHFAUD_5min.csv
Downtrend,Sideways,Weak Downtrend,50,48,13,2,24,5,CHFCAD_5min.csv
Downtrend,Sideways,Weak Downtrend,54,58,27,29,48,19,CHFILS_5min.csv
Downtrend,Downtrend,Strong Downtrend,59,58,28,10,31,0,CHFJPY_5min.csv
Downtrend,Sideways,Weak Downtrend,69,70,53,1,22,24,CHFNOK_5min.csv
Downtrend,Sideways,Weak Downtrend,62,61,46,0,10,16,CHFPLN_5min.csv
Uptrend,Sideways,Weak Uptrend,272,270,52,786,536,100,CHFSEK_5min.csv
Uptrend,Sideways,Weak Uptrend,167,176,38,320,288,4,CHFSGD_5min.csv
Uptrend,Sideways,Weak Uptrend,54,57,10,74,101,5,CNHJPY_5min.csv
Uptrend,Sideways,Weak Uptrend,41,45,35,12,48,10,EURAUD_5min.csv
Uptrend,Sideways,Weak Uptrend,42,35,11,20,45,8,EURCAD_5min.csv
Downtrend,Downtrend,Strong Downtrend,29,28,34,4,24,6,EURCHF_5min.csv
Uptrend,Sideways,Weak Uptrend,30,22,26,11,24,3,EURGBP_5min.csv
Uptrend,Uptrend,Strong Uptrend,55,48,15,103,92,17,EURHKD_5min.csv
Uptrend,Uptrend,Strong Uptrend,61,53,49,2,23,2,EURHUF_5min.csv
Downtrend,Sideways,Weak Downtrend,58,55,19,67,81,23,EURILS_5min.csv
Downtrend,Sideways,Weak Downtrend,42,46,20,48,71,2,EURJPY_5min.csv
Downtrend,Sideways,Weak Downtrend,63,62,17,11,49,13,EURMXN_5min.csv
Downtrend,Sideways,Weak Downtrend,68,60,50,6,61,18,EURNOK_5min.csv
Uptrend,Sideways,Weak Uptrend,46,37,28,17,41,14,EURNZD_5min.csv
Downtrend,Downtrend,Strong Downtrend,52,50,28,1,22,4,EURPLN_5min.csv
Downtrend,Sideways,Weak Downtrend,64,69,26,12,61,27,EURSEK_5min.csv
Uptrend,Sideways,Weak Uptrend,37,35,2,13,31,3,EURSGD_5min.csv
Uptrend,Sideways,Weak Uptrend,67,62,54,20,51,0,EURTRY_5min.csv
Downtrend,Sideways,Weak Downtrend,48,36,15,97,74,4,EURUSD_5min.csv
Downtrend,Sideways,Weak Downtrend,62,58,16,25,82,4,EURZAR_5min.csv
Uptrend,Sideways,Weak Uptrend,44,47,43,3,17,16,GBPAUD_5min.csv
Downtrend,Sideways,Weak Downtrend,50,49,29,0,17,5,GBPCAD_5min.csv
Downtrend,Sideways,Weak Downtrend,48,50,43,2,10,6,GBPCHF_5min.csv
Uptrend,Sideways,Weak Uptrend,43,43,17,33,71,9,GBPHKD_5min.csv
Uptrend,Uptrend,Strong Uptrend,65,60,50,2,16,1,GBPHUF_5min.csv
Downtrend,Sideways,Weak Downtrend,65,60,21,34,57,16,GBPILS_5min.csv
Downtrend,Downtrend,Strong Downtrend,59,55,16,12,42,1,GBPJPY_5min.csv
Downtrend,Sideways,Weak Downtrend,72,64,63,2,22,21,GBPNOK_5min.csv
Downtrend,Sideways,Weak Downtrend,54,47,62,0,18,19,GBPNZD_5min.csv
Downtrend,Uptrend,Conflict,63,62,42,0,19,20,GBPPLN_5min.csv
Downtrend,Sideways,Weak Downtrend,65,66,42,8,24,22,GBPSEK_5min.csv
Uptrend,Sideways,Weak Uptrend,46,47,21,3,12,10,GBPSGD_5min.csv
Downtrend,Downtrend,Strong Downtrend,37,38,11,39,62,12,GBPUSD_5min.csv
Downtrend,Uptrend,Conflict,57,70,8,13,40,12,GBPZAR_5min.csv
Uptrend,Uptrend,Strong Uptrend,50,49,18,109,74,2,HKDJPY_5min.csv
Downtrend,Sideways,Weak Downtrend,23,28,25,3,19,6,HUFJPY_5min.csv
Downtrend,Sideways,Weak Downtrend,29,35,14,42,37,14,INRJPY_5min.csv
Downtrend,Sideways,Weak Downtrend,52,62,56,12,45,17,MXNJPY_5min.csv
Downtrend,Sideways,Weak Downtrend,239,227,98,1442,588,85,NOKJPY_5min.csv
Downtrend,Sideways,Weak Downtrend,42,33,2,2,27,6,NZDCAD_5min.csv
Uptrend,Downtrend,Conflict,29,35,4,2,8,5,NZDCHF_5min.csv
Uptrend,Uptrend,Strong Uptrend,36,36,0,47,68,9,NZDHKD_5min.csv
Downtrend,Sideways,Weak Downtrend,57,56,1,40,51,14,NZDILS_5min.csv
Downtrend,Sideways,Weak Downtrend,57,53,43,15,29,1,NZDJPY_5min.csv
Uptrend,Sideways,Weak Uptrend,69,64,11,2,22,18,NZDNOK_5min.csv
Downtrend,Sideways,Weak Downtrend,251,238,87,1291,607,56,NZDSEK_5min.csv
Uptrend,Sideways,Weak Uptrend,154,264,92,77,132,2,NZDSGD_5min.csv
Downtrend,Sideways,Weak Downtrend,27,27,26,51,39,9,NZDUSD_5min.csv
Downtrend,Sideways,Weak Downtrend,58,63,36,7,31,3,PLNJPY_5min.csv
Uptrend,Sideways,Weak Uptrend,66,65,22,15,39,11,SEKJPY_5min.csv
Downtrend,Sideways,Weak Downtrend,44,40,0,4,7,8,SGDAUD_5min.csv
Downtrend,Sideways,Weak Downtrend,38,43,19,6,8,4,SGDCAD_5min.csv
Downtrend,Downtrend,Strong Downtrend,31,32,15,2,9,2,SGDCHF_5min.csv
Downtrend,Sideways,Weak Downtrend,61,47,17,48,57,17,SGDILS_5min.csv
Uptrend,Sideways,Weak Uptrend,53,62,14,20,38,0,SGDJPY_5min.csv
Downtrend,Sideways,Weak Downtrend,48,43,0,7,15,6,SGDNZD_5min.csv
Uptrend,Sideways,Weak Uptrend,56,63,20,19,22,21,THBJPY_5min.csv
Downtrend,Sideways,Weak Downtrend,154,208,31,1921,48,90,TRYJPY_5min.csv
Uptrend,Sideways,Weak Uptrend,27,31,29,44,48,11,USDCAD_5min.csv
Downtrend,Sideways,Weak Downtrend,28,37,3,28,44,4,USDCHF_5min.csv
Downtrend,Downtrend,Strong Downtrend,47,46,0,18,57,19,USDCNH_5min.csv
Uptrend,Not enough data to determine trend,Conflict,2,0,0,91,0,0,USDETB_5min.csv
Downtrend,Sideways,Weak Downtrend,18,8,0,12,12,2,USDHKD_5min.csv
Uptrend,Sideways,Weak Uptrend,55,55,53,10,68,4,USDHUF_5min.csv
Downtrend,Sideways,Weak Downtrend,53,53,36,119,72,20,USDILS_5min.csv
Uptrend,Sideways,Weak Uptrend,56,53,4,301,100,1,USDINR_5min.csv
Uptrend,Sideways,Weak Uptrend,44,44,18,90,78,2,USDJPY_5min.csv
Downtrend,Sideways,Weak Downtrend,61,53,64,13,46,11,USDMXN_5min.csv
Uptrend,Sideways,Weak Uptrend,67,63,34,41,94,18,USDNOK_5min.csv
Downtrend,Downtrend,Strong Downtrend,55,63,21,25,70,15,USDPLN_5min.csv
Uptrend,Sideways,Weak Uptrend,64,69,72,63,101,24,USDSEK_5min.csv
Uptrend,Sideways,Weak Uptrend,23,33,16,26,37,6,USDSGD_5min.csv
Downtrend,Sideways,Weak Downtrend,21,19,5,4,17,6,USDTHB_5min.csv
Uptrend,Sideways,Weak Uptrend,47,59,0,12,15,7,USDTRY_5min.csv
Uptrend,Sideways,Weak Uptrend,52,64,48,64,85,11,USDZAR_5min.csv
Uptrend,Downtrend,Conflict,60,61,21,21,49,22,ZARJPY_5min.csv
